"post_date","post_time","id","post_pfs_increase_stat","post_pfs_increase_dv","post_feelings_stat","post_understand_stat","post_feelings_dv","post_understand_dv","post_GOAT","post_add_kobe","post_precep_players","post_comments","post_class_name","pre_date","pre_time","pre_sports_preference","pre_follow_basketball","pre_gender","pre_feelings_stat","pre_understand_stat","pre_feelings_dv","pre_understand_dv","pre_GOAT","pre_add_kobe","pre_class_name","pre_sport_bball"
"9/26/2019","15:42","10-510","Neutral","Agree","Neutral","Neutral","Agree","Agree","Michael Jordan","No","No",NA,"A","9/26/2019","15:14","Yes","Yes","Male","Neutral","Neutral","Agree","Agree","LeBron James","No","A",1
"9/26/2019","15:43","12-400","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Agree","Disagree","LeBron James","No","Not entirely, I like to consider how they act off the court.","Enjoyed this activity, made learning and seeing these visuals very fun.","A","9/26/2019","15:12","No","No","Male","Strongly Agree","Neutral","Disagree","Neutral","LeBron James","Yes","A",0
"9/26/2019","15:44","6-400","Neutral","Neutral","Neutral","Neutral",NA,"Neutral","LeBron James","Yes","Lebron James had one of the most fun Teammates to watch win a championship (Jr. Smith) aka JR SWISH","Micheal Jordan did make Space Jam and i love Bugs Bunny","A","9/26/2019","15:08","Yes","Yes","Male","Neutral","Disagree","Neutral","Neutral","Michael Jordan","Yes","A",1
"9/26/2019","15:48","11-789","Agree","Agree","Agree","Agree","Agree","Agree","Michael Jordan","No","No","I enjoyed this activity as I am a big basketball fan. It helped me to understand visualizations of data more, and I had fun while doing it.","A","9/26/2019","15:14","Yes","Yes","Female","Agree","Neutral","Agree","Agree","Michael Jordan","No","A",1
"9/26/2019","15:51","6777","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Michael Jordan","No","Yes",NA,"A","9/26/2019","15:13","Yes","Yes","Female","Agree","Neutral","Neutral","Neutral","Michael Jordan","Yes","A",1
"9/26/2019","15:51","3-654","Neutral","Agree","Agree","Neutral","Neurtal","Agree","Michael Jordan","Yes","Yes",NA,"A","9/26/2019","15:14","No","No","Female","Neutral","Neutral","Agree","Agree","Michael Jordan","Yes","A",0
"9/26/2019","15:51","5-333","Agree","Agree","Agree","Neutral","Agree","Agree","Michael Jordan","No","yes","learned more about famous basketball players","A","9/26/2019","15:14","No","Yes","Female","Agree","Neutral","Neutral","Agree","Michael Jordan","No","A",1
"9/26/2019","15:51","7-916","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","LeBron James","No","No",NA,"A","9/26/2019","15:13","Yes","Yes","Male","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","LeBron James","No","A",1
"9/26/2019","15:51","4-420","Disagree","Agree","Agree","Disagree","Agree","Neutral","Michael Jordan","No",NA,NA,"A","9/26/2019","15:14","Yes","No","Female","Agree","Neutral","Agree","Agree","Michael Jordan","No","A",1
"9/26/2019","15:51","10-411","Agree","Agree","Agree","Agree","Agree","Agree","LeBron James","No","yes","good time","A","9/26/2019","15:13","Yes","Yes","Male","Agree","Neutral","Neutral","Neutral","Michael Jordan","Yes","A",1
"9/26/2019","15:51","5-290","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Michael Jordan","No","No, because I do not know much about these players to start off with.",NA,"A","9/26/2019","15:13","No","No","Female","Neutral","Disagree","Neutral","Neutral","Michael Jordan","Yes","A",0
